,ZINC_ID,Binding Affinity (kcal/mol),smiles,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
4,ZINC000000000083,-4.8,C[C@@H](C[N+](C)(C)C)OC(N)=O,0.10046026855707169,0.3975692689418793,0.30831488966941833,0.19365552067756653
34,ZINC000000000373,-6.2,C[C@@H](N)Cc1ccc(O)cc1,0.09448112547397614,0.900497317314148,0.00048727422836236656,0.0045342654921114445
74,ZINC000000000724,-7.7,CC(C)(C)[C@@H](O)/C=C/c1ccc2c(c1)OCO2,0.23892325162887573,0.565987229347229,0.09305224567651749,0.10203737020492554
88,ZINC000000000856,-8.5,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1,0.15334616601467133,0.8411361575126648,0.0007702943403273821,0.00474731856957078
97,ZINC000000000949,-6.7,COc1ccc(-c2cc(=S)ss2)cc1,0.13517257571220398,0.8516378402709961,0.0018933939281851053,0.011296223849058151
122,ZINC000000001283,-9.0,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,0.1535300612449646,0.7946897745132446,0.013070574961602688,0.03870959207415581
147,ZINC000000001547,-9.4,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,0.11294218897819519,0.8556063175201416,0.005462826695293188,0.02598872035741806
163,ZINC000000001695,-6.1,C[C@H](N)[C@H](O)c1cccc(O)c1,0.12841525673866272,0.7183370590209961,0.004830452147871256,0.1484171748161316
214,ZINC000000002235,-5.6,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,0.12212079018354416,0.6843442320823669,0.06908638030290604,0.12444863468408585
232,ZINC000000004028,-8.5,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,0.13561256229877472,0.5676933526992798,0.21734897792339325,0.07934518903493881
251,ZINC000000005151,-8.2,CCCN(CCc1cccs1)[C@@H]1CCc2c(O)cccc2C1,0.13561256229877472,0.5676933526992798,0.21734897792339325,0.07934518903493881
264,ZINC000000006251,-7.8,C=C1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,0.053006041795015335,0.8887790441513062,0.02222769893705845,0.03598722815513611
278,ZINC000000007782,-7.7,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0.05322013795375824,0.9426178932189941,0.0008520233095623553,0.003309879917651415
279,ZINC000000008492,-6.7,Oc1cccc2cccnc12,0.3597727417945862,0.6061477661132812,0.006682878360152245,0.02739657275378704
324,ZINC000000020252,-8.2,C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,0.3234289884567261,0.6397149562835693,0.0012053061509504914,0.03565070778131485
335,ZINC000000035804,-7.7,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0.1272307187318802,0.8344946503639221,0.0023198218550533056,0.035954803228378296
347,ZINC000000056399,-6.6,CN[C@@H](C)[C@H](O)c1ccc(O)cc1,0.32495900988578796,0.6274276375770569,0.006082466337829828,0.04153091087937355
382,ZINC000000057319,-8.6,C[C@@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,0.3234289884567261,0.6397149562835693,0.0012053061509504914,0.03565070778131485
383,ZINC000000057320,-8.3,C[C@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,0.3234289884567261,0.6397149562835693,0.0012053061509504914,0.03565070778131485
384,ZINC000000057321,-8.1,C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,0.3234289884567261,0.6397149562835693,0.0012053061509504914,0.03565070778131485
414,ZINC000000057624,-6.0,NC[C@H](O)c1ccc(O)c(O)c1,0.21505701541900635,0.6964185237884521,0.010567277669906616,0.07795722782611847
428,ZINC000000113355,-6.1,CNC[C@H](O)c1cccc(O)c1,0.12997829914093018,0.8224809765815735,0.011203515343368053,0.036337219178676605
434,ZINC000000113418,-7.4,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,0.39698195457458496,0.5887855887413025,0.0011420176597312093,0.013090426102280617
439,ZINC000000114124,-4.5,CC(C)(S)[C@H](N)C(=O)O,0.06892046332359314,0.4212058484554291,0.19221177697181702,0.3176618218421936
440,ZINC000000114127,-4.2,CC(C)(S)[C@@H](N)C(=O)O,0.06892046332359314,0.4212058484554291,0.19221177697181702,0.3176618218421936
446,ZINC000000119983,-8.7,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,0.07846365869045258,0.8895405530929565,0.006872554775327444,0.025123171508312225
537,ZINC000000538621,-9.4,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.23092828691005707,0.5569670796394348,0.002926449291408062,0.20917809009552002
